"MotifName"	"log_FC_Change"	"adj_p_val"	"CellType"	"Significance"
"SNAI3"	-1.03667031442957	0.0243757346835531	"CD8 GZMM"	"*"
"SNAI3"	-0.473708580891547	1	"CD8 GZMK"	""
"SNAI3"	0.154229146487796	1	"Naive CD8-2"	""
"SNAI3"	-0.602196872550399	1	"Naive CD4-1"	""
"SNAI3"	0.0366723599635628	1	"Naive CD8-1"	""
"SNAI3"	-0.136628530969366	1	"NK"	""
"TCF7L1"	0.362040720004005	1	"NK"	""
"TCF7L1"	-0.56897761019794	1	"CD8 GZMK"	""
"TCF7L1"	0.379342595948446	1	"Naive CD8-2"	""
"TCF7L1"	-0.599215303510796	1	"CD8 GZMM"	""
"TCF7L1"	-0.0986266358920073	1	"Naive CD4-1"	""
"TCF7L1"	-0.123194121488314	1	"Naive CD8-1"	""
"TCF7L1"	0.0921746260765035	1	"Naive CD4-2"	""
"TCF7L1"	-0.0638720002979517	1	"γδ T"	""
"TCF7L1"	-1.66022474204363	0.00137675153034102	"Memory CD4"	"*"
"VEZF1"	0.167700455710629	1	"Naive CD8-2"	""
"VEZF1"	0.101360121319166	1	"NK"	""
"VEZF1"	-0.016145017904494	1	"Naive CD8-1"	""
"VEZF1"	-1.00020019769535	0.00808280096960896	"CD8 GZMM"	"*"
"VEZF1"	-0.552425899620524	1	"CD8 GZMK"	""
"VEZF1"	-0.600093631100733	1	"γδ T"	""
"VEZF1"	-2.53253116920707	0.00312714452816081	"Memory CD4"	"*"
"VEZF1"	-0.0249258617176414	1	"Naive CD4-2"	""
"VEZF1"	-0.0725870931238235	1	"Naive CD4-1"	""
"ZEB1"	-0.0693042611925379	1	"Naive CD8-1"	""
"ZEB1"	0.0668911634219541	1	"NK"	""
"ZEB1"	-0.422655421015464	1	"CD8 GZMK"	""
"ZEB1"	0.1341338654546	1	"Naive CD4-2"	""
"ZEB1"	-0.0186266742399313	1	"Naive CD8-2"	""
"ZEB1"	-1.36165050745437	0.0084965620035235	"Memory CD4"	"*"
"ZEB1"	-1.21818070335287	0.0156197151991209	"CD8 GZMM"	"*"
"ZEB1"	0.0864275884808327	1	"γδ T"	""
"ZEB1"	0.0411202588252183	1	"Naive CD4-1"	""
"ZIC5"	-0.943902956134624	1	"Memory CD4"	""
"ZIC5"	-0.587058296740275	1	"CD8 GZMK"	""
"ZIC5"	-0.0786589919928714	1	"Naive CD4-2"	""
"ZIC5"	-1.11414144934047	0.00591438983091667	"CD8 GZMM"	"*"
"ZIC5"	0.210476751541183	1	"Naive CD8-2"	""
"ZIC5"	-0.0436910437819125	1	"Naive CD8-1"	""
"ZIC5"	0.00705209475406998	1	"γδ T"	""
"ZIC5"	-0.239904484806558	1	"NK"	""
"ZIC5"	0.0551884637067752	1	"Naive CD4-1"	""
"ZNF740"	-0.584499260993289	1	"CD8 GZMK"	""
"ZNF740"	-0.216988556622234	1	"γδ T"	""
"ZNF740"	0.0279339103484065	1	"Naive CD4-1"	""
"ZNF740"	-1.65436998274243	0.00467420458241102	"Memory CD4"	"*"
"ZNF740"	-0.000873718609963325	1	"Naive CD4-2"	""
"ZNF740"	-0.084057619295793	1	"Naive CD8-1"	""
"ZNF740"	-0.620352822169703	0.23186499843049	"CD8 GZMM"	""
"ZNF740"	-0.0933507764675889	1	"NK"	""
"ZNF740"	0.117913675938948	1	"Naive CD8-2"	""
